"time","capacitor1.v","der(capacitor1.v)","capacitor1.i","capacitor1.n.i","capacitor1.n.v","capacitor1.p.i","capacitor1.p.v","ground1.p.i","ground1.p.v","ground2.p.v","ground3.p.v","resistor1.LossPower","resistor1.R_actual","resistor1.v","resistor2.LossPower","resistor2.R_actual","resistor2.i","resistor2.v","sineVoltage1.v","constantVoltage1.i","constantVoltage1.n.i","constantVoltage1.n.v","constantVoltage1.p.i","ground2.p.i","ground3.p.i","resistor1.i","resistor1.n.i","resistor1.n.v","resistor1.p.i","resistor1.p.v","resistor2.n.i","resistor2.p.i","resistor2.p.v","sineVoltage1.i","sineVoltage1.n.i","sineVoltage1.n.v","sineVoltage1.p.i","sineVoltage1.p.v","sineVoltage1.signalSource.y"
0.28,0,0,0,0,0.1382460674663931,0,0.1382460674663931,0,0,0,0,0.01911197516992253,1,0.1382460674663931,0.01911197516992253,1,0.1382460674663931,0.1382460674663931,0.2764921349327863,0.1382460674663931,-0.1382460674663931,0,0.1382460674663931,-0.1382460674663931,0.1382460674663931,0.1382460674663931,-0.1382460674663931,0.1382460674663931,0.1382460674663931,0.2764921349327863,-0.1382460674663931,0.1382460674663931,0.1382460674663931,-0.1382460674663931,0.1382460674663931,0,-0.1382460674663931,0.2764921349327863,0.2764921349327863
0.29,0,0,0,0,0.1430465861103739,0,0.1430465861103739,0,0,0,0,0.02046232579783261,1,0.1430465861103739,0.02046232579783261,1,0.1430465861103739,0.1430465861103739,0.2860931722207478,0.1430465861103739,-0.1430465861103739,0,0.1430465861103739,-0.1430465861103739,0.1430465861103739,0.1430465861103739,-0.1430465861103739,0.1430465861103739,0.1430465861103739,0.2860931722207478,-0.1430465861103739,0.1430465861103739,0.1430465861103739,-0.1430465861103739,0.1430465861103739,0,-0.1430465861103739,0.2860931722207478,0.2860931722207478
0.3,0,0,0,0,0.1478327857004496,0,0.1478327857004496,0,0,0,0,0.02185453252795504,1,0.1478327857004496,0.02185453252795504,1,0.1478327857004496,0.1478327857004496,0.2956655714008991,0.1478327857004496,-0.1478327857004496,0,0.1478327857004496,-0.1478327857004496,0.1478327857004496,0.1478327857004496,-0.1478327857004496,0.1478327857004496,0.1478327857004496,0.2956655714008991,-0.1478327857004496,0.1478327857004496,0.1478327857004496,-0.1478327857004496,0.1478327857004496,0,-0.1478327857004496,0.2956655714008991,0.2956655714008991
0.31,0,0,0,0,0.1526041871350086,0,0.1526041871350086,0,0,0,0,0.02328803793113672,1,0.1526041871350086,0.02328803793113672,1,0.1526041871350086,0.1526041871350086,0.3052083742700172,0.1526041871350086,-0.1526041871350086,0,0.1526041871350086,-0.1526041871350086,0.1526041871350086,0.1526041871350086,-0.1526041871350086,0.1526041871350086,0.1526041871350086,0.3052083742700172,-0.1526041871350086,0.1526041871350086,0.1526041871350086,-0.1526041871350086,0.1526041871350086,0,-0.1526041871350086,0.3052083742700172,0.3052083742700172
0.32,0,0,0,0,0.1573603127937442,0,0.1573603127937442,0,0,0,0,0.02476226804254501,1,0.1573603127937442,0.02476226804254501,1,0.1573603127937442,0.1573603127937442,0.3147206255874884,0.1573603127937442,-0.1573603127937442,0,0.1573603127937442,-0.1573603127937442,0.1573603127937442,0.1573603127937442,-0.1573603127937442,0.1573603127937442,0.1573603127937442,0.3147206255874884,-0.1573603127937442,0.1573603127937442,0.1573603127937442,-0.1573603127937442,0.1573603127937442,0,-0.1573603127937442,0.3147206255874884,0.3147206255874884
0.33,0,0,0,0,0.1621006865854644,0,0.1621006865854644,0,0,0,0,0.02627663259147896,1,0.1621006865854644,0.02627663259147896,1,0.1621006865854644,0.1621006865854644,0.3242013731709288,0.1621006865854644,-0.1621006865854644,0,0.1621006865854644,-0.1621006865854644,0.1621006865854644,0.1621006865854644,-0.1621006865854644,0.1621006865854644,0.1621006865854644,0.3242013731709288,-0.1621006865854644,0.1621006865854644,0.1621006865854644,-0.1621006865854644,0.1621006865854644,0,-0.1621006865854644,0.3242013731709288,0.3242013731709288
0.34,0,0,0,0,0.1668248339957491,0,0.1668248339957491,0,0,0,0,0.02783052523770925,1,0.1668248339957491,0.02783052523770925,1,0.1668248339957491,0.1668248339957491,0.3336496679914983,0.1668248339957491,-0.1668248339957491,0,0.1668248339957491,-0.1668248339957491,0.1668248339957491,0.1668248339957491,-0.1668248339957491,0.1668248339957491,0.1668248339957491,0.3336496679914983,-0.1668248339957491,0.1668248339957491,0.1668248339957491,-0.1668248339957491,0.1668248339957491,0,-0.1668248339957491,0.3336496679914983,0.3336496679914983
0.35,0,0,0,0,0.1715322821344493,0,0.1715322821344493,0,0,0,0,0.02942332381425233,1,0.1715322821344493,0.02942332381425233,1,0.1715322821344493,0.1715322821344493,0.3430645642688987,0.1715322821344493,-0.1715322821344493,0,0.1715322821344493,-0.1715322821344493,0.1715322821344493,0.1715322821344493,-0.1715322821344493,0.1715322821344493,0.1715322821344493,0.3430645642688987,-0.1715322821344493,0.1715322821344493,0.1715322821344493,-0.1715322821344493,0.1715322821344493,0,-0.1715322821344493,0.3430645642688987,0.3430645642688987
0.36,0,0,0,0,0.1762225597830237,0,0.1762225597830237,0,0,0,0,0.03105439057648135,1,0.1762225597830237,0.03105439057648135,1,0.1762225597830237,0.1762225597830237,0.3524451195660473,0.1762225597830237,-0.1762225597830237,0,0.1762225597830237,-0.1762225597830237,0.1762225597830237,0.1762225597830237,-0.1762225597830237,0.1762225597830237,0.1762225597830237,0.3524451195660473,-0.1762225597830237,0.1762225597830237,0.1762225597830237,-0.1762225597830237,0.1762225597830237,0,-0.1762225597830237,0.3524451195660473,0.3524451195660473
0.37,0,0,0,0,0.1808951974417077,0,0.1808951974417077,0,0,0,0,0.03272307245747443,1,0.1808951974417077,0.03272307245747443,1,0.1808951974417077,0.1808951974417077,0.3617903948834155,0.1808951974417077,-0.1808951974417077,0,0.1808951974417077,-0.1808951974417077,0.1808951974417077,0.1808951974417077,-0.1808951974417077,0.1808951974417077,0.1808951974417077,0.3617903948834155,-0.1808951974417077,0.1808951974417077,0.1808951974417077,-0.1808951974417077,0.1808951974417077,0,-0.1808951974417077,0.3617903948834155,0.3617903948834155
