,Temps,Marteau,Acc1,Acc2
157,0.0007850000000000001,0.00018619959487252072,0.00016332102420657402,-3.162760783573449e-05
158,0.00079,0.0001947437299686447,0.00017975869145498577,2.3654997361747112e-05
159,0.000795,0.00021906424427668437,0.0001936815081338669,7.1283009008368e-05
160,0.0008,0.00025113688214031674,0.00019726753421992027,9.724207509386272e-05
161,0.000805,0.0002805465701917999,0.00018700291063433478,9.703863150448345e-05
162,0.0008100000000000001,0.0002980552512836653,0.00016561647504589286,7.624160073015134e-05
163,0.0008150000000000001,0.00029859640387290987,0.00014139453759688463,4.681992263091348e-05
164,0.0008200000000000001,0.0002826466690687264,0.00012514993635663949,2.1468782473031456e-05
165,0.0008250000000000001,0.0002555818237934138,0.00012609882178948206,8.717053091709758e-06
166,0.0008300000000000001,0.00022540462925222196,0.0001483040950822463,1.0764397590501477e-05
167,0.000835,0.00019981982904470247,0.00018904644177050324,2.4343432946798143e-05
168,0.00084,0.00018379903276639458,0.0002396644376878631,4.3423361271841714e-05
169,0.000845,0.00017848161900165787,0.00028844072533536474,6.201402389807519e-05
170,0.0008500000000000001,0.00018164999637983073,0.000324389614588843,7.581525552660274e-05
171,0.0008550000000000001,0.0001893726391782051,0.000340566328025962,8.249496218187068e-05
172,0.0008600000000000001,0.00019799514007090975,0.00033580092446654946,8.123905172589295e-05
173,0.0008650000000000001,0.0002056252810705325,0.00031440498785122417,7.240022228834832e-05
174,0.0008700000000000001,0.00021257519944383,0.00028414694348591444,5.759798688262068e-05
175,0.000875,0.00022071976326072497,0.0002533760350913801,3.994842913900942e-05
176,0.00088,0.00023217958892776715,0.00022840313979941793,2.377896346135707e-05
177,0.000885,0.0002479642596095086,0.000212053170533074,1.3466280398659948e-05
178,0.0008900000000000001,0.0002671573432149489,0.00020377102508203996,1.1720154844353122e-05
179,0.0008950000000000001,0.000286952058553041,0.00020100176903860626,1.821132429222451e-05
180,0.0009000000000000001,0.000303490406979072,0.00020104875261829814,2.9452958550978407e-05
181,0.0009050000000000001,0.0003131601610663817,0.0002024689737943729,4.0215273486542705e-05
182,0.0009100000000000001,0.00031385687494917545,0.00020536750008305805,4.585039779654012e-05
183,0.0009150000000000001,0.0003057492274603827,0.00021056609265223574,4.4310301451219145e-05
184,0.00092,0.0002912666824136401,0.00021824183045730453,3.6763923865649375e-05
185,0.000925,0.0002742960862271702,0.00022692990246396395,2.6519300499051526e-05
186,0.00093,0.00025885059979825667,0.00023358298909603698,1.695099013069459e-05
187,0.0009350000000000001,0.00024767860168955575,0.00023476754207542338,9.700792413726479e-06
188,0.0009400000000000001,0.00024133881628185522,0.0002283866035947449,4.1980983701802904e-06
189,0.0009450000000000001,0.0002381381610149978,0.00021495158954027332,-1.3278010077424711e-06
190,0.0009500000000000001,0.00023502596172724003,0.0001976211904106461,-8.139419340962099e-06
191,0.0009550000000000001,0.00022915205705347885,0.0001809030300561435,-1.5819155076618002e-05
192,0.0009600000000000001,0.0002194758560568209,0.00016869352330745808,-2.2481099681500905e-05
193,0.000965,0.0002077125106156424,0.00016274407312268714,-2.625007303234808e-05
194,0.00097,0.00019810448296325663,0.00016241097065615347,-2.6977767696962664e-05
195,0.0009750000000000001,0.00019596668761430577,0.00016577643149562647,-2.6917506705666886e-05
196,0.0009800000000000002,0.00020549441192973842,0.00017136931247877202,-2.9694015225180306e-05
197,0.000985,0.0002277041932577875,0.00017930624575102696,-3.801944776887056e-05
198,0.00099,0.00025940513305893983,0.00019101170216792276,-5.151229835634684e-05
199,0.000995,0.000293728214989984,0.0002075988326108678,-6.606348330906851e-05
200,0.001,0.00032211646496217445,0.00022794932712983453,-7.535498086410063e-05
201,0.001005,0.000337070524655994,0.000247893566641692,-7.385291765308724e-05
202,0.00101,0.0003346255274355826,0.00026135754960582877,-5.965715807612575e-05
203,0.001015,0.0003156474287128336,0.0002631558560355864,-3.55969487813111e-05
204,0.00102,0.0002855202107422812,0.0002519643496388135,-7.94595894557863e-06
205,0.001025,0.00025242120057967214,0.00023164780104711433,1.6492681330735676e-05
206,0.00103,0.00022487123516140207,0.0002098730919641152,3.325376997841595e-05
207,0.0010350000000000001,0.00020940950190139607,0.0001944650418808844,4.1453147252852135e-05
208,0.0010400000000000001,0.00020906309251420864,0.00018939227785232397,4.289719635729779e-05
209,0.0010450000000000001,0.00022290243206920165,0.00019270414755775538,3.990739768904955e-05
210,0.0010500000000000002,0.00024660183390230576,0.00019780075577415868,3.34852700214821e-05
211,0.0010550000000000002,0.0002737070822106418,0.000197541679937314,2.312725646851549e-05
212,0.0010600000000000002,0.0002972680124450587,0.0001889397865827422,8.383276521075126e-06
213,0.0010650000000000002,0.0003115331595086006,0.0001756288017278332,-9.067895164032716e-06
214,0.00107,0.00031341666735546544,0.0001663878099088832,-2.4577105382642952e-05
215,0.001075,0.0003034038162468323,0.00017023868646070625,-3.197701525132411e-05
216,0.00108,0.0002855405782020572,0.0001907540685981479,-2.6853171168071113e-05
217,0.001085,0.0002662860142785057,0.0002229350390145515,-9.748246531281625e-06
218,0.00109,0.0002523610065423425,0.00025478755535720155,1.2901923164641794e-05
219,0.001095,0.00024821206942124115,0.00027312164731088857,3.1183701947245666e-05
220,0.0011,0.0002540812820791039,0.00027056330085437844,3.6570643382218416e-05
221,0.001105,0.0002656573449360581,0.00024981885964987083,2.6668339500257642e-05
222,0.00111,0.00027574976075758946,0.0002225462953147899,7.013817092671676e-06
223,0.001115,0.00027752459513416506,0.00020315028556495908,-1.1433736256930515e-05
224,0.0011200000000000001,0.0002679709442155813,0.00020079307306791256,-1.8036104848296144e-05
225,0.0011250000000000001,0.0002499144708583524,0.00021414908717443798,-8.373051942336658e-06
226,0.0011300000000000001,0.00023135317151561807,0.00023209075613798242,1.3104667785120714e-05
227,0.0011350000000000002,0.00022206370301360996,0.0002402041273268213,3.537700394993414e-05
228,0.0011400000000000002,0.00022881034682914442,0.0002296081765716735,4.7006649871739745e-05
229,0.0011450000000000002,0.000251386224356527,0.00020299038404097454,4.270990135691704e-05
230,0.0011500000000000002,0.00028159018388328573,0.00017409613806842404,2.649679229678345e-05
231,0.001155,0.0003060261717165197,0.00016051347276124678,9.37955929090266e-06
232,0.00116,0.0003118023568835029,0.0001735070625281531,2.7830797800132336e-06
233,0.001165,0.0002926662481414285,0.00021062025624955414,1.1409907029049239e-05
234,0.00117,0.0002526498531001814,0.00025553695243713643,2.982960335409389e-05
235,0.001175,0.00020524779868149793,0.00028581414370857576,4.5064076530945685e-05
236,0.00118,0.00016815293223990308,0.0002846528454716194,4.3989404561113154e-05
237,0.001185,0.00015571040066743205,0.0002503794407809816,2.1443876742183632e-05
238,0.00119,0.00017247487630657617,0.00019826567525315175,-1.5722054156861907e-05
239,0.001195,0.00021091204296532726,0.00015332423870137714,-5.130389912425535e-05
240,0.0012000000000000001,0.00025446430570470616,0.00013763575896228003,-6.799114118849974e-05
241,0.0012050000000000001,0.0002847251681296885,0.000158868590807938,-5.679347155371315e-05
242,0.0012100000000000001,0.0002895121369060462,0.00020616608209643998,-2.2348699352829605e-05
